"isTs"	"is1stLast"	"prevCol"	"del.t"	"condName"
"346"	TRUE	"f"	NA	0	"GSM554210"
"347"	TRUE	"l"	"GSM554210"	30	"GSM554218"
"348"	TRUE	"f"	NA	0	"GSM554210"
"349"	TRUE	"l"	"GSM554210"	30	"GSM554219"
"350"	TRUE	"f"	NA	0	"GSM554210"
"351"	TRUE	"l"	"GSM554210"	30	"GSM554220"
"352"	TRUE	"f"	NA	0	"GSM567774"
"353"	TRUE	"m"	"GSM567774"	246	"GSM567775"
"354"	TRUE	"m"	"GSM567775"	165	"GSM567776"
"355"	TRUE	"m"	"GSM567776"	165	"GSM567777"
"356"	TRUE	"m"	"GSM567777"	294	"GSM567778"
"357"	TRUE	"m"	"GSM567778"	765	"GSM567779"
"358"	TRUE	"m"	"GSM567779"	924	"GSM567780"
"359"	TRUE	"l"	"GSM567780"	678	"GSM567781"
"360"	TRUE	"f"	NA	0	"GSM567782"
"361"	TRUE	"m"	"GSM567782"	261	"GSM567783"
"362"	TRUE	"m"	"GSM567783"	361.8	"GSM567784"
"363"	TRUE	"m"	"GSM567784"	390	"GSM567785"
"364"	TRUE	"m"	"GSM567785"	578.4	"GSM567786"
"365"	TRUE	"m"	"GSM567786"	549	"GSM567787"
"366"	TRUE	"m"	"GSM567787"	430.8	"GSM567788"
"367"	TRUE	"l"	"GSM567788"	480	"GSM567789"
"368"	TRUE	"f"	NA	0	"GSM596853"
"369"	TRUE	"m"	"GSM596853"	45	"GSM596855"
"370"	TRUE	"m"	"GSM596855"	45	"GSM596856"
"371"	TRUE	"l"	"GSM596856"	90	"GSM596854"
"372"	TRUE	"f"	NA	0	"GSM596857"
"373"	TRUE	"m"	"GSM596857"	45	"GSM596859"
"374"	TRUE	"m"	"GSM596859"	45	"GSM596860"
"375"	TRUE	"l"	"GSM596860"	90	"GSM596858"
"376"	TRUE	"f"	NA	0	"GSM596861"
"377"	TRUE	"m"	"GSM596861"	45	"GSM596863"
"378"	TRUE	"m"	"GSM596863"	45	"GSM596864"
"379"	TRUE	"l"	"GSM596864"	90	"GSM596862"
"380"	TRUE	"f"	NA	0	"GSM596865"
"381"	TRUE	"m"	"GSM596865"	45	"GSM596867"
"382"	TRUE	"m"	"GSM596867"	45	"GSM596868"
"383"	TRUE	"l"	"GSM596868"	90	"GSM596866"
"384"	TRUE	"f"	NA	0	"GSM596869"
"385"	TRUE	"m"	"GSM596869"	45	"GSM596871"
"386"	TRUE	"m"	"GSM596871"	45	"GSM596872"
"387"	TRUE	"l"	"GSM596872"	90	"GSM596870"
"388"	TRUE	"f"	NA	0	"GSM596873"
"389"	TRUE	"m"	"GSM596873"	45	"GSM596875"
"390"	TRUE	"m"	"GSM596875"	45	"GSM596876"
"391"	TRUE	"l"	"GSM596876"	90	"GSM596874"
"392"	TRUE	"f"	NA	0	"GSM614229"
"393"	TRUE	"m"	"GSM614229"	15	"GSM614231"
"394"	TRUE	"l"	"GSM614231"	30	"GSM614233"
"395"	TRUE	"f"	NA	0	"GSM614230"
"396"	TRUE	"m"	"GSM614230"	15	"GSM614232"
"397"	TRUE	"l"	"GSM614232"	30	"GSM614234"
"398"	TRUE	"f"	NA	0	"GSM614235"
"399"	TRUE	"m"	"GSM614235"	15	"GSM614237"
"400"	TRUE	"l"	"GSM614237"	30	"GSM614239"
"401"	TRUE	"f"	NA	0	"GSM614236"
"402"	TRUE	"m"	"GSM614236"	15	"GSM614238"
"403"	TRUE	"l"	"GSM614238"	30	"GSM614240"
"404"	TRUE	"f"	NA	0	"GSM614241"
"405"	TRUE	"m"	"GSM614241"	15	"GSM614243"
"406"	TRUE	"l"	"GSM614243"	30	"GSM614245"
"407"	TRUE	"f"	NA	0	"GSM614242"
"408"	TRUE	"m"	"GSM614242"	15	"GSM614244"
"409"	TRUE	"l"	"GSM614244"	30	"GSM614246"
"410"	TRUE	"f"	NA	0	"GSM630776"
"411"	TRUE	"m"	"GSM630776"	15	"GSM630777"
"412"	TRUE	"l"	"GSM630777"	30	"GSM630778"
"413"	TRUE	"f"	NA	0	"GSM630779"
"414"	TRUE	"m"	"GSM630779"	15	"GSM630780"
"415"	TRUE	"l"	"GSM630780"	30	"GSM630781"
"416"	TRUE	"f"	NA	0	"GSM630782"
"417"	TRUE	"m"	"GSM630782"	15	"GSM630783"
"418"	TRUE	"l"	"GSM630783"	30	"GSM630784"
"419"	TRUE	"f"	NA	0	"GSM673317"
"420"	TRUE	"m"	"GSM673317"	15	"GSM673320"
"421"	TRUE	"m"	"GSM673320"	20	"GSM673323"
"422"	TRUE	"l"	"GSM673323"	20	"GSM673326"
"423"	TRUE	"f"	NA	0	"GSM673318"
"424"	TRUE	"m"	"GSM673318"	15	"GSM673321"
"425"	TRUE	"m"	"GSM673321"	20	"GSM673324"
"426"	TRUE	"l"	"GSM673324"	20	"GSM673327"
"427"	TRUE	"f"	NA	0	"GSM673319"
"428"	TRUE	"m"	"GSM673319"	15	"GSM673322"
"429"	TRUE	"m"	"GSM673322"	20	"GSM673325"
